Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
126	sonu	Jan 19, 2016	Yes	Awesome Device	delivered in time... packing was perfect(Previously purchased Ipad From SD that packing was also good).. phone is brand new and working awesome... Thank you SD keep it up
127	Guest	Jan 19, 2016	Yes	good very good	Goood but not good
128	Milind	Jan 19, 2016	Yes	AWESOME DEAL	FAST DELIVERY ORIGINAL PRODUCT !!!
129	Ravindra	Jan 19, 2016	Yes	iphone5Sgood	very good with on time delivery
130	pratik	Jan 19, 2016	Yes	Good. Received on time.	Delivered. Perfectly packed.
131	Malik	Jan 17, 2016	Yes	Perfect and On time	Received the product before the expected time and was perfect... really appreciable....would recommend to my friends also...
132	swadha1213	Jan 17, 2016	Yes	So value for money now	Ppl bought it for 35+ just 6 months back... Right time to buy one if any ...snapdeal improved n at par with flkart now amazon is worse than infibeam n shopclues
133	guest	Jan 17, 2016	Yes	i phone 5s	nice product and good service
134	Guest	Jan 17, 2016	Yes	awesome mobile,iPhone 5s	Awesome mobile  it's  brand new & manufacture in December 2015
135	Guest	Jan 17, 2016	Yes	received genuine product ,snap deal is the best	Worth buy ,perfect fit in pocket and hands 2 .
136	Guest	Jan 17, 2016	Yes	iphone 5s excellent	Apple products always superbb
137	Guest	Jan 17, 2016	Yes	prompt delivery	Got this for good deal and kudos to seller for nice packing...could have been better... IPhone 5s cannnot the post the experience I have with 5S....stylish...perfect in hand...AWESOME...
138	shubham mehta	Jan 17, 2016	Yes	awesome.....	this is way better than most of android budosers..........they have ram from 1gb to 3 gb or in sone phoones 4 gb they can beat this beast.................and it is beauty with brains.......its sooooo gud definately buy it
139	rajesh	Jan 17, 2016	Yes	Good product and on time delivery	Good product. I recommend public to purchase in snapdeal
140	mahesh4086	Jan 17, 2016	Yes	Good phone	Best compact size and powerfull
141	manifnds20	Jan 13, 2016	Yes	Awesome phone with SD	Basically apple is my dream. This is my first iphone great moment and everything is perfect. genuine product ll be received. No any issues. Simply superb happy moment great deal with snap deal
142	Guest	Jan 13, 2016	Yes	its an iphone.....	nice experience...fully responsive.....and best part is battery backup....is superb....!!!rest thing is best...
143	Raj	Jan 13, 2016	Yes	Good phone	Simply good
144	Deb	Jan 13, 2016	Yes	Debanjana Mukherjee	Very good product
145	Guest	Jan 13, 2016	Yes	value for money product	Very good phone.thanks snapdeal
146	farhan	Jan 13, 2016	Yes	iphone 5s 16gb grey	the mobile was packed in good condition with 1 year manufacturer warranty.got it only 3 days.100% genuine product!
147	Sidrameshwar	Jan 13, 2016	Yes	Average your rating	Average your rating
148	dr oaj dosaj	Jan 13, 2016	Yes	best phone	amazing performance.............nice gadget.
149	Guest	Jan 13, 2016	Yes	Exlent mobile. thank you	One thing radiation will coming. Everything is good
150	varun	Jan 13, 2016	Yes	Awesome phone in this price range	all good , arrived in good condition on time
151	Gaurang	Jan 12, 2016	Yes	Good product	Working well , no issue
152	Sanket	Jan 12, 2016	Yes	First Iphone	I bought this device from snapdeal. The packaging and service was brilliant. I got my product delivered before expected delivery date.  About I phone 5S: I am very happy with this device. Was fed up of using android device. Now. finally got my first I phone and this is just amazing.
153	mohinish420	Jan 12, 2016	Yes	awesome service by snapdeal	good phone   ,,,handy,,
154	Amit B	Jan 12, 2016	Yes	GoodProduct	Good product n was delivered on time
155	aryanxgen	Jan 12, 2016	Yes	Yes it is my 'Dil ki deal'	Delivered on time and every thing's great. All as mentioned and no faults at all as the dealer's great. Camera perfect and nothing to worry .. I think that in such a price, it is one of the best phones. Apple has continued to prove itself.
156	Naveen	Jan 12, 2016	Yes	overall experience was good	Overall experience was good
157	jitu	Jan 12, 2016	Yes	Best price to buy	One of the best phone apple ever made because of size and slimness
158	ers	Jan 12, 2016	Yes	Awwwsomeee...	Its an iPhone what else do you want to read.
159	Ajay Sharma	Jan 12, 2016	Yes	Excellent Phone	gifted to my wife,Reached in time thanks snapdeal. Original and excellent phone in this price .
160	Bhabani Singh	Jan 12, 2016	Yes	Good to be an iPhone.	Deliverd before estimated time.good product from apple.Everything about this phone is good but only one demerit is battery backup.One thing i like about this phone is Siri.This features is quite good and handy.
161	Parteek	Jan 10, 2016	Yes	Perfect Deal	I m very happy ..from service of snapdeal plus compare to snapdeal
162	Guest	Jan 10, 2016	Yes	Masha allah	Very good service
163	Guest	Jan 10, 2016	Yes	Iphone 5s 16gb	Good product!!!
164	Guest	Jan 10, 2016	Yes	dipesh- m impressed	very good product
165	Guest	Jan 10, 2016	Yes	Be it not latest, but best in class	Awesome phone. Great in performance, value for money  Also great delivery by Snapdeal!
166	Guest	Jan 10, 2016	Yes	I phone 5s is my fav	Best service of snap deal
