Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1193	Dilip	Oct 15, 2015	Yes	Micromax Canvas Spark 2	Wonderful product.   Great price.  On time delivery.   Very satisfied.
1194	M satisfied fst delivery..	Oct 15, 2015	Yes	nice cell	nice phone in low price goid camera quality of both side n beautiful looking... slim sleek.. i think its more good if we hav color option.
1195	NAGENDRA	Oct 15, 2015	Yes	micromax	this product is very good i hve given 5 stars
1196	Nitin	Oct 15, 2015	Yes	Good	Nice phone , nice camera , nice look And Nice Front camera and nice
1197	Jk shinde	Oct 15, 2015	Yes	Micromax spark 2	Good  product in the given price range. I liked it and I am happily using it.
1198	Naresh	Oct 15, 2015	Yes	Naresh	Very good beautiful satisfied with product
1199	lalo	Oct 15, 2015	Yes	Simple to use it	I like it because  its so simple to use and nice all feature. picture clarity also nice now. its working nicely now and i hop its working nicly in future too..................
1200	sam goldy	Oct 15, 2015	Yes	Perfect phone in micromax	What a phone in this range of micromax brand and screen size for fully entertainment and slim and sleek with dual sim card and removable battery and most about this itis fully hd
1201	farooqui	Oct 15, 2015	Yes	spark 2 is good	Awesome phone at low price with lollipop version.Snapdeal Service is too good great and fast service i am very happy with Snapdeal THANKS SNAPDEAL
1202	Frad	Oct 15, 2015	Yes	Awesome budget phone	lot of preloaded junk but after removing them phone works pretty well. First launcher sucks(using nova launcher).
1203	suman	Oct 15, 2015	Yes	Micromax canvas spark 2 4 GB Black	A very good phone at such a price.  The product was delivered by snapdeal within 48 hours.
1204	rakesh	Oct 15, 2015	Yes	like it micromax canvass spark 2	good mobile .good camera quality .high speed internet.good looking .good quality .   thank you  snap deal.......
1205	Ram Saran Jakhar	Oct 15, 2015	Yes	Micromax Canvas Spark 2 4 GB Black	This is a fantastic mobile, butter touch, fast internet, big screen, very nice camera. Please go for it.
1206	Raj kumar	Oct 15, 2015	Yes	Micromax canvas spark 2	Micromax canvas spark 2 good features and best quality
1207	sunny	Oct 15, 2015	Yes	micromax spark 2 value for money	good phone in this price range .. good screen size n perfect speed according to this range.
1208	sunita	Oct 15, 2015	Yes	congratulation	good quality , excellent packing with delivery prouc to be a customer of snapdeal
1209	babu	Oct 15, 2015	Yes	Snapdeal Diwali Dhamaka	snapdeal service very good  delivery the Product at a time product quality is good it is best phone to use regular service.
1210	gouti	Oct 15, 2015	Yes	nice	i have canvas spark2 is good and smart phone.
1211	ab	Oct 15, 2015	Yes	on time	great phone in this price also deliverd on time
1212	ananta sagar mandal	Oct 15, 2015	Yes	Micro max canvas spark 2	Micro max canvas speak  2 is a good looking.is a very good smart phone.camera collate good.battery saver mode.
1213	mirza	Oct 15, 2015	Yes	micromax spark 2	nice mobile phone giving good performance
1214	Vikas	Oct 15, 2015	Yes	Good	This is my first android device and I had a thrill in using this device. Good job in making this mas...
1215	Happychand	Oct 15, 2015	Yes	Great value for money	The  phone is awesome in this range. Camera is also good(front & back). Slim & 5" display is too much good. 3G Internet speed is unbelievable. I recommend you to buy maicromax canvas spark 2.
1216	SURYA	Oct 15, 2015	Yes	Good	I had a thrill in using this device. Good job in making this mas... in a Low Budget.
1217	sukanya	Oct 15, 2015	Yes	Sukanya Seal	Canvas spark  2 is really good. All the features, size,camera everything is perfect. The only problem is the battery and the phone storage.
1218	Mahendra singh	Oct 15, 2015	Yes	Oosam  snapdeal	I have meny  product by a snap deal  it abelebil very lowest prize and provide great offer to costmar........online shopping keep liye  No.1 site Snapdeal
1219	No	Oct 15, 2015	Yes	Superb Product	Awesome product with nice packing . I am soooooooooo Happpppppppy .
1220	Rajat	Oct 15, 2015	Yes	Micromax Canvas Spark 2 is full value of money	The product is good. Basically, in this price range this product is ow same. If you compare it with price range. 2nd ly, Snapdeals service is excellent. Continue mobile & email update & getting the product in hand 4/5 days ago of time limit.  My full of thanks for both Snapdeal & Micromax.
1221	srinu	Oct 14, 2015	Yes	Good looking smart phone	It is a good phone in its price range.net is also fast.
1222	Naveen	Oct 14, 2015	Yes	Good	Good product correct for the money spent
1223	ANIL MASULE	Oct 14, 2015	Yes	Nice	Micromax canvas spark 2  is very nice mobile.
1224	thaamesh	Oct 14, 2015	Yes	good	Its good       Good smart phone price is good design also good
1225	Dr Vicky	Oct 14, 2015	Yes	Really Spark	Mobile is osum ,I m simply satisfied .happy to shop I love snapdeal
1226	rsraja	Oct 14, 2015	Yes	Superb. . .	Great Phone at this price. . . i recommended to all buy this phone. . . best 3G phone at low price. . . 5inch big screen very nice. . .
1227	Nitesh	Oct 14, 2015	Yes	Excellent service	Namaste,  All of you..  I have appreciate your business.. Your service is extremely good..
1228	hemu	Oct 14, 2015	Yes	good	snap deal  shopping is excellent and very good experience
1229	shibi	Oct 14, 2015	Yes	Awsome	The product is fully loaded and worth the price. Fast enough and easy to use. So far so good
